,Equipo,T20,T21,Pts,PJ,Prom
0,Boca Juniors,51,22,73,37,1.972
1,Velez,39,31,70,37,1.891
2,River Plate,47,21,68,36,1.888
3,Racing Club,42,21,63,37,1.702
4,Argentinos,42,19,61,37,1.648
5,San Lorenzo,39,21,60,37,1.621
6,Talleres (C),37,20,57,37,1.540
7,Lanus,36,19,55,37,1.486
8,Rosario Central,36,18,54,37,1.459
9,Estudiantes (LP),30,22,52,37,1.405
10,Independiente,32,20,52,37,1.405
11,Def y Justicia,39,12,51,37,1.378
12,Newells,38,11,49,37,1.324
13,Atl Tucuman,29,18,47,36,1.305
14,Union,28,19,47,37,1.270
15,Arsenal,35,12,47,37,1.270
16,Banfield,27,20,47,37,1.270
17,Colon,21,25,46,37,1.243
18,Central Cba (SdE),26,17,43,37,1.162
19,Platense,0,14,14,13,1.076
20,Gimnasia (LP),24,15,39,37,1.054
21,Patronato,23,12,35,37,0.945
22,Huracan,22,13,35,37,0.945
23,Sarmiento (J),0,12,12,13,0.923
24,Aldosivi,22,11,33,37,0.891
25,Godoy Cruz,18,15,33,37,0.891
